ID,API名称,端点URL,分类
1,概述,remark.html,
2,对接须知,infnotice.html,
11,登录系统,/webapi/v3/ov1/login,鉴权接口
12,退出系统,/webapi/v3/ov1/logout,鉴权接口
228,部门列表,/webapi/v3/orgs/dept/list,组织架构
232,部门添加,/webapi/v3/orgs/dept/add,组织架构
233,部门修改,/webapi/v3/orgs/dept/edit,组织架构
234,部门详情,/webapi/v3/orgs/dept/detail,组织架构
231,账号列表,/webapi/v3/orgs/user/list,组织架构
278,账号添加,/webapi/v3/orgs/user/add,组织架构
279,账号修改,/webapi/v3/orgs/user/edit,组织架构
280,账号删除,/webapi/v3/orgs/user/delete,组织架构
281,账号详情,/webapi/v3/orgs/user/detail,组织架构
15,分配新客户ID,/webapi/v3/ov1/salesmanage/custom/add?apihelptype=new,销售栏目
16,添加或修改单位客户,/webapi/v3/ov1/salesmanage/custom/add?intsort=1&apihelptype=save,销售栏目
17,添加或修改个人客户,/webapi/v3/ov1/salesmanage/custom/add?intsort=2&apihelptype=save,销售栏目
18,获取客户详情,/webapi/v3/ov1/salesmanage/custom/add?edit=1&apihelptype=get,销售栏目
19,获取客户列表,/webapi/v3/ov1/salesmanage/custom/list,销售栏目
20,客户指派,/webapi/v3/ov1/systemmanage/order?datatype=tel&apihelptype=save,销售栏目
21,客户收回,/webapi/v3/ov1/salesmanage/custom/takeback,销售栏目
22,客户申请,/webapi/v3/ov1/salesmanage/custom/apply,销售栏目
23,客户审批,/webapi/v3/ov1/salesmanage/custom/approve?__msgid=onsave,销售栏目
24,客户审核,/webapi/v3/ov1/salesManage/custom/approve_set?apihelptype=save,销售栏目
25,客户跟进,/webapi/v3/ov1/systemManage/reply?datatype=tel&apihelptype=save,销售栏目
26,客户共享,/webapi/v3/ov1/salesManage/custom/share?apihelptype=save,销售栏目
27,客户保护,/webapi/v3/ov1/salesManage/custom/add?__msgid=profect,销售栏目
28,客户放弃保护,/webapi/v3/ov1/salesManage/custom/add?__msgid=unprofect,销售栏目
297,客户添加,/webapi/v3/sales/customer/add,销售栏目
298,客户修改,/webapi/v3/sales/customer/edit,销售栏目
30,添加或修改联系人,/webapi/v3/ov1/salesmanage/person/add?apihelptype=save,销售栏目
31,获取联系人详情,/webapi/v3/ov1/salesmanage/person/add?edit=1&apihelptype=get,销售栏目
32,获取联系人列表,/webapi/v3/ov1/salesmanage/person/list,销售栏目
33,联系人跟进,/webapi/v3/ov1/systemManage/reply?datatype=person&apihelptype=save,销售栏目
36,获取项目列表,/webapi/v3/ov1/salesmanage/chance/list,销售栏目
37,获取项目详情,/webapi/v3/ov1/salesmanage/chance/add?apihelptype=get,销售栏目
38,项目跟进,/webapi/v3/ov1/systemManage/reply?datatype=chance&apihelptype=save,销售栏目
39,项目审批,/webapi/v3/ov1/systemmanage/approve?dtype=25&apihelptype=save,销售栏目
42,添加合同明细,/webapi/v3/ov1/salesmanage/contract/contractlist?__msgId=addToContract,销售栏目
43,编辑合同明细列表,/webapi/v3/ov1/salesmanage/contract/contractlist,销售栏目
44,编辑合同明细删除,/webapi/v3/ov1/salesmanage/contract/contractlist?__msgId=delete&batch=0,销售栏目
45,编辑合同明细,/webapi/v3/ov1/salesmanage/contract/contractlist_edit?apihelptype=save,销售栏目
46,编辑合同明细单位选择,/webapi/v3/ov1/salesmanage/contract/UnitChange?ord=0&__unit=0&company=0&apihelptype=get,销售栏目
47,添加或修改合同,/webapi/v3/ov1/salesmanage/contract/add?apihelptype=save,销售栏目
48,合同关联客户,/webapi/v3/ov1/salesmanage/custom/list?datatype=addcontract&checktype=redio,销售栏目
49,合同关联对方代表,/webapi/v3/ov1/salesManage/person/list?checktype=radio,销售栏目
50,获取合同列表,/webapi/v3/ov1/salesmanage/contract/billlist,销售栏目
51,合同洽谈进展,/webapi/v3/ov1/systemManage/reply?datatype=contract&apihelptype=save,销售栏目
52,合同共享,/webapi/v3/ov1/salesManage/contract/share?apihelptype=save,销售栏目
53,合同审批,/webapi/v3/ov1/systemmanage/approve?dtype=2&apihelptype=save,销售栏目
252,合同详情,/webapi/v3/sales/contract/detail,销售栏目
285,合同审批修改,/webapi/v3/sales/contract/approve/edit,销售栏目
286,合同审批记录详情,/webapi/v3/sales/contract/approve/approveStageList/detail,销售栏目
296,合同添加,/webapi/v3/sale/contract/add,销售栏目
56,获取售后服务列表,/webapi/v3/ov1/salesmanage/service/list,销售栏目
57,获取售后服务详情,/webapi/v3/ov1/salesmanage/service/add?apihelptype=get,销售栏目
58,售后服务处理,/webapi/v3/ov1/salesmanage/service/chuli?apihelptype=save,销售栏目
61,添加或修改售后维修,/webapi/v3/ov1/salesmanage/repair/DealAdd?apihelptype=save,销售栏目
62,获取售后维修列表,/webapi/v3/ov1/salesmanage/repair/Deallist,销售栏目
63,获取售后维修详情,/webapi/v3/ov1/salesmanage/repair/Dealcontent?apihelptype=get,销售栏目
66,获取采购列表,/webapi/v3/ov1/storemanage/caigou/list,采购栏目
67,获取采购详情,/webapi/v3/ov1/storemanage/caigou/add?apihelptype=get,采购栏目
68,获取采购审批,/webapi/v3/ov1/systemmanage/approve?dtype=3&apihelptype=save,采购栏目
237,供应商详情,/webapi/v3/store/supplierDetail/detail,采购栏目
238,供应商列表,/webapi/v3/store/supplierList,采购栏目
71,获取库存详情,/webapi/v3/ov1/storemanage/store/content?apihelptype=get,库存栏目
72,获取库存查看列表,/webapi/v3/ov1/storemanage/store/list,库存栏目
246,产品库存明细列表,/webapi/v3/store/inventory/InventoryDetails,库存栏目
247,产品库存汇总列表,/webapi/v3/store/inventory/InventorySummary,库存栏目
74,获取仓库列表,/webapi/apiHelper/stock/Stock/GetWarehouses,库存栏目
